Label,Description,Expression,DRIVEALONE,SHAREDRIDE2,SHAREDRIDE3,WALK,BIKE,WALK_TRANSIT,PNR_TRANSIT,KNR_TRANSIT,TNC_TRANSIT,TAXI,TNC_SINGLE,TNC_SHARED,SCHBUS
util_SHAREDRIDE3_Person_is_16_years_old_or_older,SHAREDRIDE3 - Person is 16 years old or older,@(df.age >= 16),,,coef_age16p_sr_multiplier,,,,,,,,,,
#,Walk,,,,,,,,,,,,,,
util_WALK_Time_up_to_2_miles,WALK - Time up to 2 miles,@walktimeshort_multiplier * (od_skims['DISTWALK'] > 0) * (od_skims['DISTWALK'].clip(upper=walkThresh) + od_skims.reverse('DISTWALK').clip(upper=walkThresh))*60/walkSpeed,,,,coef_ivt,,,,,,,,,
util_WALK_Time_beyond_2_of_a_miles,WALK - Time beyond 2 of a miles,@walktimelong_multiplier * (od_skims['DISTWALK'] > 0) * ((od_skims['DISTWALK'] - walkThresh).clip(lower=0) + (od_skims.reverse('DISTWALK') - walkThresh).clip(lower=0))*60/walkSpeed,,,,coef_ivt,,,,,,,,,
util_WALK_Destination_zone_densityIndex,WALK - Destination zone densityIndex,@density_index_multiplier * df.density_index,,,,coef_ivt,,,,,,,,,
util_WALK_Topology,WALK - Topology,@coef_topology_walk_multiplier * df.dest_topology,,,,coef_ivt,,,,,,,,,
#,Bike,,,,,,,,,,,,,,
util_BIKE_Unavailable_if_didn't_bike_to_work,BIKE - Unavailable if didn't bike to work,is_atwork_subtour & ~work_tour_is_bike,,,,,-999,,,,,,,,
util_BIKE_Time_up_to_6_miles,BIKE - Time up to 6 miles,@biketimeshort_multiplier * (od_skims['DISTBIKE'] > 0) * (od_skims['DISTBIKE'].clip(upper=bikeThresh) + od_skims.reverse('DISTBIKE').clip(upper=bikeThresh))*60/bikeSpeed,,,,,coef_ivt,,,,,,,,
util_BIKE_Time_beyond_6_of_a_miles,BIKE - Time beyond 6 of a miles,@biketimelong_multiplier * (od_skims['DISTBIKE'] > 0) * ((od_skims['DISTBIKE']-bikeThresh).clip(lower=0) + (od_skims.reverse('DISTBIKE')-bikeThresh).clip(lower=0))*60/bikeSpeed,,,,,coef_ivt,,,,,,,,
util_BIKE_Destination_zone_densityIndex,BIKE - Destination zone densityIndex,@density_index_multiplier * df.density_index,,,,,coef_ivt,,,,,,,,
util_BIKE_Topology,BIKE - Topology,@coef_topology_bike_multiplier * df.dest_topology,,,,,coef_ivt,,,,,,,,
#,Walk to Transit,,,,,,,,,,,,,,
util_WALK_TRANSIT_Unavailable,WALK_TRANSIT - Unavailable,walk_transit_available == False,,,,,,-999,,,,,,,
util_WALK_TRANSIT_In_vehicle_time,WALK_TRANSIT - In-vehicle time,(wt_ivt_skims_out + wt_ivt_skims_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Short_iwait_time,WALK_TRANSIT - Short iwait time,@short_i_wait_multiplier * ((df.wt_iwait_skims_out).clip(upper=waitThresh) + (df.wt_iwait_skims_inb).clip(upper=waitThresh)),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Long_iwait_time,WALK_TRANSIT - Long iwait time,@long_i_wait_multiplier * ((df.wt_iwait_skims_out-waitThresh).clip(0) + (df.wt_iwait_skims_inb-waitThresh).clip(0)),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_transfer_wait_time,WALK_TRANSIT - transfer wait time,@xwait_multiplier * (df.wt_xwait_skims_out + df.wt_xwait_skims_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_number_of_transfers,WALK_TRANSIT - number of transfers,@xfers_wlk_multiplier * ((df.wt_xfers_skims_out).clip(0) + (df.wt_xfers_skims_inb).clip(0)),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Walk_access_time,WALK_TRANSIT - Walk access time,@wacc_multiplier * (df.wt_wacc_time_out + df.wt_wacc_time_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Walk_egress_time,WALK_TRANSIT - Walk egress time,@wacc_multiplier * (df.wt_wegr_time_out + df.wt_wegr_time_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Walk_other_time,WALK_TRANSIT - Walk other time,@waux_multiplier * (df.wt_waux_skims_out + df.wt_waux_skims_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Fare,WALK_TRANSIT - Fare,@ivt_cost_multiplier * df.ivot * (df.wt_fare_skims_out + df.wt_fare_skims_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Crowd,WALK_TRANSIT - Crowding Penalties,@crowd_multiplier * (df.wt_crowd_skims_out + df.wt_crowd_skims_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Cappen,WALK_TRANSIT - Capacity Penalties,@cappen_multiplier * (df.wt_cappen_skims_out + df.wt_cappen_skims_inb),,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Destination_zone_densityIndex,WALK_TRANSIT - Destination zone densityIndex,@density_index_multiplier * df.dest_density_index,,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Topology,WALK_TRANSIT - Topology,@coef_topology_trn_multiplier * df.dest_topology,,,,,,coef_ivt,,,,,,,
util_WALK_TRANSIT_Person_is_less_than_10_years_old,WALK_TRANSIT - Person is less than 10 years old,@(df.age <= 10),,,,,,coef_age010_trn_multiplier,,,,,,,
#,Transit PNR,,,,,,,,,,,,,,
util_PNR_TRANSIT_Unavailable,PNR_TRANSIT - Unavailable,pnr_transit_available == False,,,,,,,-999,,,,,,
util_PNR_TRANSIT_Unavailable_for_zero_auto_households,PNR_TRANSIT - Unavailable for zero auto households,auto_ownership == 0,,,,,,,-999,,,,,,
util_PNR_TRANSIT_Unavailable_for_persons_less_than_16,PNR_TRANSIT - Unavailable for persons less than 16,age < 16,,,,,,,-999,,,,,,
util_PNR_TRANSIT_In_vehicle_time,PNR_TRANSIT - In-vehicle time,(pt_ivt_skims_out + pt_ivt_skims_inb),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Short_iwait_time,PNR_TRANSIT - Short iwait time,@short_i_wait_multiplier * ((df.pt_iwait_skims_out).clip(upper=waitThresh) + (df.pt_iwait_skims_inb).clip(upper=waitThresh)),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Long_iwait_time,PNR_TRANSIT - Long iwait time,@long_i_wait_multiplier * ((df.pt_iwait_skims_out-waitThresh).clip(0) + (df.pt_iwait_skims_inb-waitThresh).clip(0)),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_transfer_wait_time,PNR_TRANSIT - transfer wait time,@xwait_multiplier * (df.pt_xwait_skims_out + df.pt_xwait_skims_inb),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_number_of_transfers,PNR_TRANSIT - number of transfers,@xfers_wlk_multiplier * ((df.pt_xfers_skims_out).clip(0) + (df.pt_xfers_skims_inb).clip(0)),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_drive_time,PNR_TRANSIT - drive time,@dtim_multiplier * (df.pt_dacc_skims_out + df.pt_degr_skims_inb),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Walk_access_time,PNR_TRANSIT - Walk access time,@wacc_multiplier * df.pt_wacc_time_inb,,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Walk_egress_time,PNR_TRANSIT - Walk egress time,@wegr_multiplier *df.pt_wegr_time_out,,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Walk_other_time,PNR_TRANSIT - Walk other time,@waux_multiplier * (df.pt_waux_skims_out + df.pt_waux_skims_inb),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Fare,PNR_TRANSIT - Fare,@ivt_cost_multiplier * df.ivot * (df.pt_fare_skims_out + df.pt_fare_skims_inb),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Crowd,PNR_TRANSIT - Crowding Penalties,@crowd_multiplier * (df.pt_crowd_skims_out + df.pt_crowd_skims_inb),,,,,,coef_ivt,,,,,,,
util_PNR_TRANSIT_Cappen,PNR_TRANSIT - Capacity Penalties,@cappen_multiplier * (df.pt_cappen_skims_out + df.pt_cappen_skims_inb),,,,,,coef_ivt,,,,,,,
util_PNR_TRANSIT_operating_cost,PNR_TRANSIT - Operating cost,@ivt_cost_multiplier * df.ivot * ((df.pt_dacc_skims_out + df.pt_degr_skims_inb) * driveSpeed / 60 * costPerMile),,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Ratio_of_drive_access_distance_to_OD_distance,PNR_TRANSIT - Ratio of drive access distance to OD distance,@dacc_ratio * ((df.pt_dacc_skims_out + df.pt_degr_skims_inb)/ (df.da_dist_skims_out + df.da_dist_skims_inb)),,,,,,,1,,,,,,
util_PNR_TRANSIT_Destination_zone_densityIndex,PNR_TRANSIT - Destination zone densityIndex,@density_index_multiplier * df.dest_density_index,,,,,,,coef_ivt,,,,,,
util_PNR_TRANSIT_Topology,PNR_TRANSIT - Topology,@coef_topology_trn_multiplier * df.dest_topology,,,,,,,coef_ivt,,,,,,
#,Transit KNR,,,,,,,,,,,,,,
util_KNR_TRANSIT_Unavailable,KNR_TRANSIT - Unavailable,knr_transit_available == False,,,,,,,,-999,,,,,
util_KNR_TRANSIT_Unavailable_for_zero_auto_households,KNR_TRANSIT - Unavailable for zero auto households,auto_ownership == 0,,,,,,,,-999,,,,,
#util_KNR_TRANSIT_Unavailable_for_persons_less_than_16,KNR_TRANSIT - Unavailable for persons less than 16,age < 16,,,,,,,,-999,,,,,
util_KNR_TRANSIT_In_vehicle_time,KNR_TRANSIT - In-vehicle time,(kt_ivt_skims_out + kt_ivt_skims_inb),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Short_iwait_time,KNR_TRANSIT - Short iwait time,@short_i_wait_multiplier * ((df.kt_iwait_skims_out).clip(upper=waitThresh) + (df.kt_iwait_skims_inb).clip(upper=waitThresh)),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Long_iwait_time,KNR_TRANSIT - Long iwait time,@long_i_wait_multiplier * ((df.kt_iwait_skims_out-waitThresh).clip(0) + (df.kt_iwait_skims_inb-waitThresh).clip(0)),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_transfer_wait_time,KNR_TRANSIT - transfer wait time,@xwait_multiplier * (df.kt_xwait_skims_out + df.kt_xwait_skims_inb),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_number_of_transfers,KNR_TRANSIT - number of transfers,@xfers_wlk_multiplier * ((df.kt_xfers_skims_out).clip(0) + (df.kt_xfers_skims_inb).clip(0)),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_drive_time,KNR_TRANSIT - drive time,@dtim_multiplier * (df.kt_dacc_skims_out + df.kt_degr_skims_inb),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Walk_access_time,KNR_TRANSIT - Walk access time,@wacc_multiplier * df.kt_wacc_time_inb,,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Walk_egress_time,KNR_TRANSIT - Walk egress time,@wegr_multiplier *df.kt_wegr_time_out,,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Walk_other_time,KNR_TRANSIT - Walk other time,@waux_multiplier * (df.kt_waux_skims_out + df.kt_waux_skims_inb),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Fare,KNR_TRANSIT - Fare,@ivt_cost_multiplier * df.ivot * (df.kt_fare_skims_out + df.kt_fare_skims_inb),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Crowd,KNR_TRANSIT - Crowding Penalties,@crowd_multiplier * (df.kt_crowd_skims_out + df.kt_crowd_skims_inb),,,,,,coef_ivt,,,,,,,
util_KNR_TRANSIT_Cappen,KNR_TRANSIT - Capacity Penalties,@cappen_multiplier * (df.kt_cappen_skims_out + df.kt_cappen_skims_inb),,,,,,coef_ivt,,,,,,,
util_KNR_TRANSIT_operating_cost,KNR_TRANSIT - Operating cost,@ivt_cost_multiplier * df.ivot * ((df.kt_dacc_skims_out + df.kt_degr_skims_inb) * driveSpeed / 60 * costPerMile),,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Destination_zone_densityIndex,KNR_TRANSIT - Destination zone densityIndex,@density_index_multiplier * df.dest_density_index,,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Topology,KNR_TRANSIT - Topology,@coef_topology_trn_multiplier * df.dest_topology,,,,,,,,coef_ivt,,,,,
util_KNR_TRANSIT_Person_is_less_than_10_years_old,KNR_TRANSIT - Person is less than 10 years old,@(df.age < 10),,,,,,,,coef_age010_trn_multiplier,,,,,
#,Transit TNC,,,,,,,,,,,,,,
util_TNC_TRANSIT_Unavailable,TNC_TRANSIT - Unavailable,tnc_transit_available == False,,,,,,,,,-999,,,,
#util_TNC_TRANSIT_Unavailable_for_persons_less_than_16,TNC_TRANSIT - Unavailable for persons less than 16,age < 16,,,,,,,,,-999,,,,
util_TNC_TRANSIT_In_vehicle_time,TNC_TRANSIT - In-vehicle time,(kt_ivt_skims_out + kt_ivt_skims_inb),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Short_iwait_time,TNC_TRANSIT - Short iwait time,@short_i_wait_multiplier * ((df.kt_iwait_skims_out).clip(upper=waitThresh) + (df.kt_iwait_skims_inb).clip(upper=waitThresh)),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Long_iwait_time,TNC_TRANSIT - Long iwait time,@long_i_wait_multiplier * ((df.kt_iwait_skims_out-waitThresh).clip(0) + (df.kt_iwait_skims_inb-waitThresh).clip(0)),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_transfer_wait_time,TNC_TRANSIT - transfer wait time,@xwait_multiplier * (df.kt_xwait_skims_out + df.kt_xwait_skims_inb),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_number_of_transfers,TNC_TRANSIT - number of transfers,@xfers_wlk_multiplier * ((df.kt_xfers_skims_out).clip(0) + (df.kt_xfers_skims_inb).clip(0)),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_drive_time,TNC_TRANSIT - drive time,@dtim_multiplier * (df.kt_dacc_skims_out + df.kt_degr_skims_inb),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Walk_access_time,TNC_TRANSIT - Walk access time,@2 * wacc_multiplier * df.kt_wacc_time_inb,,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Walk_egress_time,TNC_TRANSIT - Walk egress time,@2 * wegr_multiplier *df.kt_wegr_time_out,,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Walk_other_time,TNC_TRANSIT - Walk other time,@waux_multiplier * (df.kt_waux_skims_out + df.kt_waux_skims_inb),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Fare,TNC_TRANSIT - Fare,@ivt_cost_multiplier * df.ivot * (df.kt_fare_skims_out + df.kt_fare_skims_inb),,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_operating_cost,TNC_TRANSIT - Operating cost,"@ivt_cost_multiplier * df.ivot * np.maximum(TNC_single_baseFare * 2 + (df.kt_dacc_skims_out + df.kt_degr_skims_inb) * driveSpeed / 60 * TNC_single_costPerMile + (df.kt_dacc_skims_out + df.kt_degr_skims_inb) * TNC_single_costPerMinute, TNC_single_costMinimum) * 100",,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Destination_zone_densityIndex,TNC_TRANSIT - Destination zone densityIndex,@density_index_multiplier * df.dest_density_index,,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Topology,TNC_TRANSIT - Topology,@coef_topology_trn_multiplier * df.dest_topology,,,,,,,,,coef_ivt,,,,
util_TNC_TRANSIT_Person_is_less_than_10_years_old,TNC_TRANSIT - Person is less than 10 years old,@(df.age < 10),,,,,,,,,coef_age010_trn_multiplier,,,,
#,Taxi,,,,,,,,,,,,,,
util_Taxi_In_vehicle_time,Taxi - In-vehicle time,(s2_time_skims_out + s2_time_skims_inb) * time_factor,,,,,,,,,,coef_ivt,,,
util_Taxi_Wait_time,Taxi - Wait time,@ridehail_wait_time_multiplier * df.totalWaitTaxi,,,,,,,,,,coef_ivt,,,
util_Taxi_Tolls,Taxi - Tolls,@ivt_cost_multiplier * df.ivot * (df.s2_cost_skims_out + df.s2_cost_skims_inb),,,,,,,,,,coef_ivt,,,
util_Taxi_Fare,Taxi - Fare,@ivt_cost_multiplier * df.ivot * (Taxi_baseFare * 2 + (df.s2_dist_skims_out + df.s2_dist_skims_inb) * Taxi_costPerMile +(df.s2_time_skims_out + df.s2_time_skims_inb) * Taxi_costPerMinute)*100,,,,,,,,,,coef_ivt,,,
#,TNC Single,,,,,,,,,,,,,,
util_TNC_Single_In_vehicle_time,TNC Single - In-vehicle time,(s2_time_skims_out + s2_time_skims_inb) * time_factor,,,,,,,,,,,coef_ivt,,
util_TNC_Single_Wait_time,TNC Single - Wait time,@ridehail_wait_time_multiplier * df.totalWaitSingleTNC,,,,,,,,,,,coef_ivt,,
util_TNC_Single_Tolls,TNC Single - Tolls,@ivt_cost_multiplier * df.ivot * (df.s2_cost_skims_out + df.s2_cost_skims_inb),,,,,,,,,,,coef_ivt,,
util_TNC_Single_Cost,TNC Single - Cost,"@ivt_cost_multiplier * df.ivot * np.maximum(TNC_single_baseFare * 2 + (df.s2_dist_skims_out + df.s2_dist_skims_inb) * TNC_single_costPerMile + (df.s2_time_skims_out + df.s2_time_skims_inb) * TNC_single_costPerMinute, TNC_single_costMinimum) * 100",,,,,,,,,,,coef_ivt,,
#,TNC Shared,,,,,,,,,,,,,,
util_TNC_Shared_In_vehicle_time,TNC Shared - In-vehicle time,(s2_time_skims_out + s2_time_skims_inb) * time_factor,,,,,,,,,,,,coef_ivt,
util_TNC_Shared_Wait_time,TNC Shared - Wait time,@ridehail_wait_time_multiplier * df.totalWaitSharedTNC,,,,,,,,,,,,coef_ivt,
util_TNC_Shared_Tolls,TNC Shared - Tolls,@ivt_cost_multiplier * df.ivot * (df.s2_cost_skims_out + df.s2_cost_skims_inb),,,,,,,,,,,,coef_ivt,
util_TNC_Shared_Cost,TNC Shared - Cost,"@ivt_cost_multiplier * df.ivot * np.maximum(TNC_shared_baseFare * 2 + (df.s2_dist_skims_out + df.s2_dist_skims_inb) * TNC_shared_costPerMile + (df.s2_time_skims_out + df.s2_time_skims_inb) * TNC_shared_costPerMinute, TNC_shared_costMinimum) * 100",,,,,,,,,,,,coef_ivt,
#SCHBUS,,,,,,,,,,,,,,,
util_SCHBUS_unavailable,School bus unav,schbus_available == False,,,,,,,,,,,,,-999
util_SCHBUS_asc,schbus_available,,,,,,,,,,,,,,schbus_ASC
School_Bus_In_vehicle_time_(HOV3+_skims)_20_mph,School Bus - In-vehicle time (HOV3+ skims) - 20 mph,@(df.s3_dist_skims_out + df.s3_dist_skims_inb) * 60 / schbusSpeed,,,,,,,,,,,,,coef_ivt
School_Bus_WALK_Time,School Bus - Walk Time,@wacc_multiplier*10,,,,,,,,,,,,,coef_ivt
School_Bus_Wait_Time,School Bus - Wait Time,@short_i_wait_multiplier*10,,,,,,,,,,,,,coef_ivt
util_schoolbus_ASC_no_auto,School Bus No Auto ASC,@(df.auto_ownership == 0),,,,,,,,,,,,,schoolbus_ASC_no_auto
util_schoolbus_ASC_auto_deficient,School Bus Auto Deficient ASC,@((df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,,,schoolbus_ASC_auto_deficient
util_schoolbus_ASC_auto_sufficient,School Bus Auto Sufficient ASC,@((df.auto_ownership >= df.num_workers) & (df.auto_ownership > 0)),,,,,,,,,,,,,schoolbus_ASC_auto_sufficient
#,indiv tour ASCs,,,,,,,,,,,,,, 
util_Walk_ASC_Zero_auto,Walk ASC - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,walk_ASC_no_auto,,,,,,,,,
util_Walk_ASC_Auto_deficient,Walk ASC - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,walk_ASC_auto_deficient,,,,,,,,,
util_Walk_ASC_Auto_sufficient,Walk ASC - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,walk_ASC_auto_sufficient,,,,,,,,,
util_Bike_ASC_Zero_auto,Bike ASC - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,bike_ASC_no_auto,,,,,,,,
util_Bike_ASC_Auto_deficient,Bike ASC - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,bike_ASC_auto_deficient,,,,,,,,
util_Bike_ASC_Auto_sufficient,Bike ASC - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,,,bike_ASC_auto_sufficient,,,,,,,,
util_Shared_ride_2_ASC_Zero_auto,Shared ride 2 ASC - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,sr2_ASC_no_auto,,,,,,,,,,,
util_Shared_ride_2_ASC_Auto_deficient,Shared ride 2 ASC - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,sr2_ASC_auto_deficient,,,,,,,,,,,
util_Shared_ride_2_ASC_Auto_sufficient,Shared ride 2 ASC - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,sr2_ASC_auto_sufficient,,,,,,,,,,,
util_Shared_ride_3p_Zero_auto,Shared ride 3+ - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,sr3p_ASC_no_auto,,,,,,,,,,
util_Shared_ride_3p_Auto_deficient,Shared ride 3+ - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,sr3p_ASC_auto_deficient,,,,,,,,,,
util_Shared_ride_3p_Auto_sufficient,Shared ride 3+ - Auto sufficient,@(df.is_indiv & (df.auto_ownership >= df.num_workers)),,,sr3p_ASC_auto_sufficient,,,,,,,,,,
util_Walk_to_Transit_Zero_auto,Walk to Transit - Zero auto,@(df.is_indiv & (df.auto_ownership == 0)),,,,,,walk_transit_ASC_no_auto,,,,,,,
util_Walk_to_Transit_Auto_deficient,Walk to Transit - Auto deficient,@(df.is_indiv & (df.auto_ownership < df.num_workers) & (df.auto_ownership > 0)),,,,,,walk_transit_ASC_auto_deficient,,,,,,,
